table_row_id,run_mode,dataset_id,system_id,specialist_composition_id,metric_name,compared_metric,mean_metric_value,sample_variance,standard_deviation,confidence_interval_width,ci_width_comparison_to_pure,pure_mavs_reference_ci_width,row_count,repetition_unit_count,source_metric_manifest_hash,source_metric_artifact_hash
7806878733bca946b4a3fce5,audit,adult_income,static_weighted_ensemble,rf_mlp_pair,f1_variance,f1,0.787281144781145,0.012143053111670856,0.11019552219428363,0.03219687798315399,pure_mavs_wider,0.04560793669421442,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
351449f190f3c3827ac8e9f6,audit,adult_income,veto_mavs,full_rf_gbt_mlp,accuracy_variance,accuracy,0.735185185185185,0.02059107524656872,0.14349590672408993,0.04192656931859647,pure_mavs_wider,0.05238442999685453,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
4777271b54bee4b01f274454,audit,adult_income,veto_mavs,full_rf_gbt_mlp,f1_variance,f1,0.7838552188552188,0.011317038393642427,0.10638156980249176,0.031082519093184033,pure_mavs_wider,0.04271558065166612,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
32e967d58d5997a32a299f68,audit,adult_income,veto_mavs,gbt_mlp_pair,accuracy_variance,accuracy,0.7234567901234569,0.029310833697343105,0.17120407032936777,0.0500223280660665,pure_mavs_wider,0.056200886428446055,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
1310ec30ac84d40f320fde58,audit,adult_income,veto_mavs,gbt_mlp_pair,f1_variance,f1,0.7683333333333334,0.01889104606245287,0.13744470183478472,0.040158531002769775,pure_mavs_wider,0.04843693611822448,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
8de9aa66194a26343d006345,audit,adult_income,veto_mavs,rf_gbt_pair,accuracy_variance,accuracy,0.7407407407407408,0.01931167666735636,0.1389664587854075,0.040603157262381624,pure_mavs_wider,0.040949705429390006,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
8259d60a344a4412ef885772,audit,adult_income,veto_mavs,rf_gbt_pair,f1_variance,f1,0.791919191919192,0.009882471233410798,0.09941061931911901,0.029045749924432786,pure_mavs_wider,0.03154909545588484,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
97627ba2636da93cc66a3f2d,audit,adult_income,veto_mavs,rf_mlp_pair,accuracy_variance,accuracy,0.7345679012345679,0.02543470430910943,0.15948261444154166,0.0465975583704351,pure_mavs_wider,0.055058684958959124,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
59eb270bbc0443d299fb8ba8,audit,adult_income,veto_mavs,rf_mlp_pair,f1_variance,f1,0.7766414141414142,0.01540260079207515,0.12410721490741443,0.03626159008673745,pure_mavs_wider,0.04560793669421442,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
4d9e33aee1e81bfdea2d6edb,audit,bank_marketing,mean_ensemble,full_rf_gbt_mlp,accuracy_variance,accuracy,0.6728395061728395,0.040930025825535864,0.20231170461823475,0.05911134262491018,pure_mavs_wider,0.061085731050075476,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
